batter,pressure_score,impact_score,batsman_runs,clutch_index
AA Kulkarni,0.75,3.1875,26,6.775
C Sakariya,3.5483870967741935,3.225806451612903,20,6.709677419354839
M Tiwari,2.9166666666666665,3.25,21,6.666666666666667
J Arunkumar,0.8333333333333334,4.145833333333333,23,6.591666666666667
GB Hogg,3.409090909090909,2.0681818181818183,22,6.590909090909092
AU Rashid,1.1764705882352942,4.294117647058823,22,6.588235294117648
S Chanderpaul,0.7272727272727273,3.0454545454545454,25,6.50909090909091
R Bishnoi,1.3529411764705883,5.411764705882353,19,6.5058823529411764
KL Nagarkoti,2.5588235294117645,2.6323529411764706,22,6.476470588235294
AC Thomas,3.6315789473684212,2.3947368421052633,20,6.410526315789474
PP Ojha,3.8666666666666667,4.155555555555556,16,6.40888888888889
KA Maharaj,4.5,11.0,1,6.4
M de Lange,4.5,11.0,1,6.4
MJ Suthar,4.5,11.0,1,6.4
NT Ellis,3.0,3.4423076923076925,19,6.376923076923077
BMAJ Mendis,0.5185185185185185,3.7962962962962963,23,6.325925925925927
KMA Paul,3.8076923076923075,2.980769230769231,18,6.315384615384616
XC Bartlett,1.5714285714285714,3.1666666666666665,22,6.295238095238096
SU Parakh,1.0,8.1875,13,6.275
DJ Malan,0.4230769230769231,2.25,26,6.269230769230769
NJ Maddinson,1.0,4.5,20,6.2
Shivam Sharma,4.0,8.833333333333334,5,6.133333333333334
BKG Mendis,0.5454545454545454,4.7272727272727275,20,6.109090909090909
HE van der Dussen,1.72,2.46,22,6.072000000000001
IC Pandey,5.0,10.0,0,6.0
SS Cottrell,5.0,10.0,0,6.0
R Sanjay Yadav,5.0,10.0,0,6.0
JJ van der Wath,2.764705882352941,3.1470588235294117,18,5.964705882352941
Sediqullah Atal,0.4375,3.40625,22,5.9375
S Kaul,3.8055555555555554,1.0138888888888888,20,5.927777777777777
RR Raje,3.4444444444444446,1.3333333333333333,20,5.911111111111111
MA Wood,3.8,4.9,12,5.880000000000001
DE Bollinger,3.4782608695652173,0.717391304347826,21,5.878260869565217
R Shukla,3.4782608695652173,1.673913043478261,19,5.860869565217392
Harsh Dubey,3.6363636363636362,4.5,13,5.854545454545455
SE Bond,1.5,12.5,1,5.8
A Zampa,2.2,4.8,15,5.8
P Dubey,2.090909090909091,0.7575757575757576,23,5.73939393939394
VRV Singh,4.0,8.333333333333334,4,5.733333333333333
B Indrajith,0.7419354838709677,3.064516129032258,21,5.72258064516129
Gulbadin Naib,2.4,2.3666666666666667,19,5.706666666666667
Tanush Kotian,0.59375,1.609375,24,5.68125
F Behardien,3.4615384615384617,3.730769230769231,14,5.676923076923078
CRD Fernando,3.6666666666666665,8.5,4,5.666666666666667
Vijaykumar Vyshak,3.588235294117647,2.5588235294117645,16,5.658823529411765
BJ Haddin,0.6363636363636364,4.409090909090909,18,5.618181818181818
Parvez Rasool,3.5,2.025,17,5.61
Mujeeb Ur Rahman,3.2666666666666666,4.566666666666666,12,5.533333333333333
CK Kapugedera,3.1666666666666665,2.5416666666666665,16,5.483333333333333
KJ Abbott,3.25,3.9375,13,5.475
S Badree,2.8,4.38,13,5.4719999999999995
TS Mills,3.2142857142857144,6.392857142857143,8,5.442857142857143
KM Asif,2.0,11.5,0,5.4
MJ Owen,2.0,11.5,0,5.4
LG Pretorius,2.0,11.5,0,5.4
