batter,batsman_runs,impact_score,pressure_score,momentum,is_wicket,player_rating
S Anirudha,136,2.409090909090909,1.859504132231405,1.024793388429752,8,48.77913223140495
MJ Santner,136,1.996212121212121,2.128787878787879,0.8560606060606061,8,48.69602272727272
GD Phillips,132,3.267857142857143,1.9107142857142858,0.7232142857142857,11,47.543749999999996
SB Styris,131,2.2276119402985075,1.0895522388059702,0.7761194029850746,7,46.78003731343283
RD Chahar,129,2.97244094488189,3.4015748031496065,0.4094488188976378,16,46.65531496062992
W Jaffer,130,2.60077519379845,0.5348837209302325,0.8062015503875969,7,46.41841085271318
Kamran Akmal,128,3.1666666666666665,1.1538461538461537,1.435897435897436,4,46.10961538461538
M Morkel,126,3.360215053763441,3.2580645161290325,0.8064516129032258,11,45.75295698924731
Arshad Khan,127,2.3020833333333335,2.4895833333333335,1.1145833333333333,6,45.74635416666667
P Dogra,127,2.50354609929078,1.950354609929078,0.5035460992907801,12,45.56666666666666
TK Curran,127,2.0231481481481484,1.7962962962962963,0.9722222222222222,5,45.50949074074074
UT Khawaja,127,2.7857142857142856,0.4380952380952381,1.0380952380952382,5,45.44166666666666
SS Prabhudessai,126,3.079646017699115,1.168141592920354,0.8141592920353983,9,45.266371681415926
