batter,batsman_runs,impact_score,death_score
JA Richardson,2,10.875,5.550000000000001
VS Malik,7,3.2857142857142856,5.514285714285714
Mukesh Kumar,9,0.2631578947368421,5.505263157894737
Arshad Khan (2),5,6.125,5.45
Mohammad Hafeez,5,6.125,5.45
Pankaj Singh,7,3.125,5.45
Simarjeet Singh,8,1.5909090909090908,5.4363636363636365
T Kohli,4,7.333333333333333,5.333333333333334
N Jagadeesan,9,-0.6428571428571429,5.142857142857142
S Sohal,4,6.833333333333333,5.133333333333333
SM Harwood,9,-0.6785714285714286,5.128571428571428
OC McCoy,8,0.7,5.08
Jaskaran Singh,7,2.111111111111111,5.044444444444444
Sunny Singh,7,2.111111111111111,5.044444444444444
R Bishnoi,1,11.0,5.0
MJ Suthar,1,11.0,5.0
M de Lange,1,11.0,5.0
KA Maharaj,1,11.0,5.0
SJ Srivastava,5,4.7,4.88
MC Juneja,5,4.444444444444445,4.777777777777778
FA Allen,4,5.928571428571429,4.771428571428571
TM Srivastava,4,5.75,4.7
I Malhotra,7,1.125,4.65
Karanveer Singh,8,-0.55,4.58
P Awana,5,3.857142857142857,4.542857142857143
P Dubey,7,0.7142857142857143,4.485714285714286
V Viyaskanth,7,0.6,4.44
MP Yadav,5,3.5,4.4
AJ Turner,4,4.966666666666667,4.386666666666667
Yash Dayal,4,4.9375,4.375
A Singh,2,7.5625,4.2250000000000005
A Mhatre,4,4.4,4.16
SD Hope,7,-0.14285714285714285,4.142857142857143
MJ Henry,2,7.333333333333333,4.133333333333334
GC Viljoen,3,5.785714285714286,4.114285714285714
L Ngidi,4,4.222222222222222,4.088888888888889
FH Edwards,4,4.2,4.08
SH Johnson,7,-0.375,4.05
R Sanjay Yadav,0,10.0,4.0
GD McGrath,0,10.0,4.0
IC Pandey,0,10.0,4.0
Shoaib Ahmed,0,10.0,4.0
B Stanlake,5,2.25,3.9
B Laughlin,1,8.0,3.8000000000000003
DA Payne,6,0.3,3.7199999999999998
DM Bravo,6,0.1,3.6399999999999997
A Chandila,4,2.5714285714285716,3.428571428571429
A Uniyal,4,2.5714285714285716,3.428571428571429
IS Sodhi,2,5.5,3.4000000000000004
BAW Mendis,3,4.0,3.4
KMDN Kulasekara,5,1.0,3.4
D du Preez,3,4.0,3.4
BA Bhatt,6,-0.6428571428571429,3.3428571428571425
JP Behrendorff,6,-0.6666666666666666,3.333333333333333
LE Plunkett,1,6.666666666666667,3.266666666666667
DJ Muthuswami,1,6.666666666666667,3.266666666666667
BE Hendricks,1,6.666666666666667,3.266666666666667
KP Appanna,2,5.125,3.25
VVS Laxman,2,5.125,3.25
GHS Garton,2,5.0,3.2
S Randiv,2,4.875,3.1500000000000004
R Ninan,3,3.0833333333333335,3.033333333333333
RS Sodhi,4,1.25,2.9
JM Kemp,3,2.357142857142857,2.742857142857143
TL Seifert,2,3.8,2.7199999999999998
H Das,2,3.6,2.64
Prince Yadav,5,-1.0833333333333333,2.5666666666666664
D Kalyankrishna,3,1.8125,2.525
Fazalhaq Farooqi,5,-1.3333333333333333,2.466666666666667
RP Meredith,0,6.0,2.4000000000000004
KAJ Roach,1,4.5,2.4
DS Rathi,3,1.4444444444444444,2.3777777777777778
Akash Madhwal,4,-0.4,2.2399999999999998
Krish Bhagat,3,1.05,2.2199999999999998
A Dananjaya,4,-0.5,2.1999999999999997
C Munro,4,-0.6666666666666666,2.1333333333333333
T Natarajan,4,-0.8571428571428571,2.057142857142857
DP Nannes,1,3.2,1.8800000000000003
Sumit Kumar,2,1.625,1.85
S Tyagi,3,-0.5,1.5999999999999999
JE Taylor,3,-0.5,1.5999999999999999
N Burger,3,-0.8,1.4799999999999998
RJW Topley,3,-1.0,1.4
RG More,2,0.0,1.2
RJ Gleeson,2,0.0,1.2
Mukesh Choudhary,2,0.0,1.2
Mashrafe Mortaza,2,-0.25,1.0999999999999999
Shivam Singh,2,-0.6666666666666666,0.9333333333333333
T Shamsi,2,-1.0,0.7999999999999999
Brijesh Sharma,2,-1.0,0.7999999999999999
AB Barath,2,-1.2,0.72
E Malinga,2,-1.3571428571428572,0.657142857142857
Abdul Basith,1,0.0,0.6
PVSN Raju,1,0.0,0.6
NJ Rimmington,1,0.0,0.6
SZ Mulani,1,0.0,0.6
DP Vijaykumar,1,0.0,0.6
JR Philippe,1,-1.0,0.19999999999999996
LB Williams,1,-1.0,0.19999999999999996
Mohit Rathee,1,-1.0,0.19999999999999996
PM Sarvesh Kumar,1,-1.0,0.19999999999999996
ND Doshi,0,0.4,0.16000000000000003
P Parameswaran,1,-1.1666666666666667,0.13333333333333325
HF Gurney,1,-1.6,-0.04000000000000015
Ashwani Kumar,1,-1.6666666666666667,-0.06666666666666676
YA Abdulla,0,-1.5,-0.6000000000000001
PP Hinge,0,-1.5,-0.6000000000000001
Abdur Razzak,0,-2.0,-0.8
U Kaul,0,-2.0,-0.8
Y Prithvi Raj,0,-2.0,-0.8
K Yadav,0,-2.0,-0.8
Ashok Sharma,0,-2.0,-0.8
KR Sen,0,-2.0,-0.8
Mayank Dagar,0,-2.0,-0.8
L Ablish,0,-2.0,-0.8
